case_id,case_type,complexity_score,evidence_count,witness_count,lawyer_count,adjournment_history,judge_id,court_id,filing_date,priority_level,estimated_duration,adjourned_today
C1051,commercial,4,39,0,2,4,J19,CR10,2018,high,75,no
C1052,criminal,5,45,3,2,1,J14,CR4,2021,low,83,yes
C1053,commercial,2,11,1,4,0,J14,CR6,2018,medium,30,no
C1054,criminal,10,74,6,3,3,J2,CR2,2022,low,165,yes
C1055,commercial,8,62,5,2,5,J11,CR2,2021,low,150,yes
C1056,civil,9,81,7,1,0,J18,CR8,2023,medium,147,yes
C1057,civil,1,1,2,1,2,J9,CR8,2018,low,30,no
C1058,civil,1,14,0,2,0,J15,CR9,2021,low,30,no
C1059,commercial,9,70,3,3,6,J18,CR1,2021,medium,158,no
C1060,civil,5,41,1,2,4,J6,CR7,2018,low,89,no
C1061,civil,5,43,1,1,2,J13,CR1,2019,medium,78,yes
C1062,civil,7,65,4,1,4,J13,CR5,2021,high,132,no
C1063,criminal,6,45,3,2,1,J10,CR7,2018,high,91,no
C1064,commercial,10,80,3,3,7,J18,CR8,2018,medium,177,yes
C1065,criminal,4,29,0,1,1,J7,CR1,2021,medium,52,no
C1066,commercial,10,78,4,3,5,J2,CR6,2018,medium,169,yes
C1067,commercial,9,67,2,2,2,J16,CR9,2023,medium,127,no
C1068,commercial,10,81,5,2,6,J6,CR1,2018,medium,181,no
C1069,civil,9,66,3,1,2,J6,CR2,2022,medium,132,no
C1070,commercial,3,23,2,2,0,J8,CR7,2019,low,45,yes
C1071,commercial,2,13,0,4,0,J8,CR10,2023,low,30,no
C1072,commercial,9,76,3,2,4,J3,CR7,2022,medium,149,no
C1073,commercial,2,19,0,2,1,J17,CR6,2023,high,31,no
C1074,civil,1,14,0,1,0,J11,CR4,2020,low,30,no
C1075,civil,5,46,2,1,2,J10,CR8,2022,high,85,yes
C1076,civil,10,73,4,1,2,J1,CR8,2018,medium,148,yes
C1077,commercial,2,18,0,3,0,J4,CR2,2019,medium,30,no
C1078,commercial,6,45,4,2,7,J9,CR3,2023,medium,132,no
C1079,civil,1,16,1,2,3,J8,CR6,2020,low,39,no
C1080,criminal,6,49,3,2,0,J18,CR5,2020,low,87,no
C1081,commercial,2,23,1,4,0,J17,CR1,2021,low,32,no
C1082,commercial,10,71,4,2,4,J10,CR2,2022,low,159,no
C1083,civil,3,26,0,2,5,J9,CR2,2020,low,67,no
C1084,commercial,8,66,2,2,3,J18,CR3,2022,high,125,yes
C1085,commercial,10,84,5,3,3,J7,CR6,2021,low,165,yes
C1086,commercial,6,40,2,3,2,J9,CR9,2020,low,90,no
C1087,civil,9,67,7,2,4,J3,CR7,2023,low,164,no
C1088,civil,1,12,0,1,0,J1,CR6,2023,low,30,no
C1089,commercial,7,56,6,3,4,J9,CR3,2023,low,138,no
C1090,commercial,3,26,1,3,0,J14,CR9,2020,low,42,yes
C1091,civil,9,76,3,1,5,J5,CR9,2018,high,155,yes
C1092,criminal,6,44,2,1,2,J19,CR9,2019,medium,92,yes
C1093,civil,2,5,1,2,0,J2,CR5,2018,medium,30,no
C1094,civil,10,75,2,2,2,J12,CR4,2020,high,139,no
C1095,commercial,5,42,1,3,0,J4,CR6,2020,low,66,no
C1096,criminal,8,51,5,3,4,J20,CR3,2020,high,138,no
C1097,civil,6,52,2,2,3,J6,CR3,2020,high,102,no
C1098,civil,2,26,3,1,0,J6,CR6,2019,low,44,no
C1099,criminal,3,26,2,3,0,J8,CR5,2018,medium,47,yes
C1100,commercial,6,42,3,2,1,J4,CR7,2019,medium,90,no
C1101,criminal,5,40,4,1,1,J8,CR4,2022,low,86,no
C1102,criminal,9,68,8,3,4,J12,CR5,2022,high,170,no
C1103,civil,2,16,1,1,0,J8,CR1,2019,low,30,no
C1104,criminal,3,24,2,1,2,J11,CR5,2023,medium,58,no
C1105,criminal,3,21,2,3,0,J12,CR9,2023,medium,44,no
C1106,commercial,4,36,0,3,1,J11,CR1,2023,high,56,yes
C1107,criminal,6,54,0,1,6,J6,CR10,2018,low,111,no
C1108,criminal,7,52,3,3,0,J2,CR2,2020,medium,97,no
C1109,criminal,8,71,2,3,5,J11,CR7,2022,medium,139,no
C1110,commercial,7,60,5,4,6,J4,CR7,2020,medium,147,no
C1111,civil,6,50,4,1,2,J9,CR1,2022,low,105,no
C1112,civil,2,16,0,2,0,J17,CR9,2022,high,30,no
C1113,commercial,10,81,3,4,3,J7,CR6,2019,high,153,yes
C1114,commercial,10,80,8,2,6,J11,CR10,2020,high,196,yes
C1115,civil,4,27,1,1,4,J10,CR9,2023,low,74,yes
C1116,criminal,8,62,3,2,9,J11,CR7,2022,low,164,yes
C1117,commercial,5,42,4,2,1,J5,CR4,2019,low,87,no
C1118,criminal,4,36,2,2,0,J6,CR10,2020,medium,60,no
C1119,criminal,3,10,2,2,0,J18,CR1,2022,high,39,no
C1120,civil,1,4,1,2,0,J14,CR10,2021,medium,30,no
C1121,criminal,8,58,7,1,4,J15,CR8,2023,medium,152,yes
C1122,civil,8,63,4,1,1,J17,CR8,2020,low,121,no
C1123,commercial,3,31,3,2,0,J6,CR2,2019,medium,54,no
C1124,commercial,3,22,0,2,1,J20,CR6,2019,low,41,yes
C1125,civil,2,15,0,2,0,J10,CR4,2019,high,30,no
C1126,civil,8,67,2,1,0,J1,CR1,2022,low,107,yes
C1127,criminal,1,13,3,3,1,J20,CR2,2023,medium,35,no
C1128,commercial,4,23,0,3,2,J19,CR4,2021,medium,55,no
C1129,criminal,1,1,0,2,2,J16,CR7,2019,low,30,no
C1130,commercial,7,59,1,3,2,J1,CR2,2022,low,102,no
C1131,civil,4,38,2,1,0,J6,CR9,2023,medium,61,no
C1132,commercial,1,19,0,2,4,J8,CR2,2018,low,41,no
C1133,criminal,4,35,3,2,4,J17,CR9,2019,medium,88,no
C1134,criminal,10,71,5,1,4,J20,CR9,2021,low,164,yes
C1135,commercial,10,67,4,4,3,J15,CR3,2023,medium,151,no
C1136,criminal,2,24,2,3,3,J15,CR5,2022,low,56,no
C1137,commercial,10,81,2,3,3,J9,CR9,2020,low,148,yes
C1138,civil,5,32,3,1,2,J9,CR8,2021,medium,83,yes
C1139,criminal,7,62,4,3,3,J8,CR5,2023,low,125,yes
C1140,commercial,8,67,1,4,4,J3,CR3,2019,low,126,yes
C1141,criminal,9,66,2,1,0,J5,CR4,2020,medium,115,yes
C1142,criminal,9,75,3,1,6,J11,CR9,2018,low,160,yes
C1143,civil,10,77,5,2,8,J7,CR7,2023,high,191,yes
C1144,commercial,3,28,2,4,3,J1,CR10,2018,high,66,no
C1145,civil,10,86,5,2,4,J12,CR5,2019,medium,172,no
C1146,criminal,1,9,0,2,0,J18,CR9,2018,low,30,no
C1147,civil,8,62,5,1,3,J16,CR4,2020,low,138,yes
C1148,criminal,10,86,6,3,3,J1,CR7,2020,medium,171,yes
C1149,commercial,8,77,0,4,1,J13,CR3,2018,medium,108,no
C1150,civil,6,53,0,2,5,J20,CR9,2019,low,104,yes
C1151,criminal,10,79,4,3,2,J19,CR10,2020,high,151,no
C1152,civil,4,31,1,2,1,J14,CR3,2021,medium,58,no
C1153,civil,1,15,0,2,0,J2,CR5,2019,low,30,no
C1154,civil,5,39,2,1,0,J15,CR6,2020,high,69,no
C1155,criminal,5,38,2,3,0,J9,CR7,2023,medium,69,yes
C1156,civil,2,21,3,1,0,J16,CR1,2019,medium,41,no
C1157,civil,6,47,3,1,5,J12,CR4,2018,medium,116,no
C1158,commercial,4,39,1,3,6,J2,CR1,2022,medium,92,no
C1159,civil,9,68,1,1,2,J1,CR10,2021,medium,123,yes
C1160,civil,3,26,3,1,0,J16,CR2,2021,low,52,no
C1161,civil,8,68,3,2,4,J15,CR5,2023,high,137,no
C1162,civil,5,40,4,1,1,J20,CR10,2019,medium,86,no
C1163,commercial,1,13,0,2,1,J4,CR3,2020,high,30,no
C1164,civil,9,66,3,1,6,J19,CR1,2023,low,156,no
C1165,commercial,5,47,1,3,0,J13,CR7,2019,high,68,no
C1166,civil,7,59,0,2,5,J3,CR10,2022,medium,115,no
C1167,commercial,6,41,4,4,2,J8,CR2,2023,medium,100,no
C1168,criminal,6,48,3,2,4,J20,CR2,2023,low,111,no
C1169,commercial,10,84,8,2,3,J2,CR6,2021,low,180,yes
C1170,commercial,1,7,0,4,0,J12,CR2,2021,medium,30,no
C1171,criminal,9,65,5,1,3,J1,CR7,2020,low,147,no
C1172,civil,2,12,2,1,0,J14,CR6,2022,high,32,no
C1173,criminal,5,34,0,1,5,J5,CR7,2022,high,87,yes
C1174,commercial,1,13,0,3,0,J9,CR10,2021,medium,30,no
C1175,commercial,8,71,3,2,3,J16,CR8,2022,low,132,yes
C1176,commercial,2,19,2,2,0,J19,CR5,2023,low,35,no
C1177,civil,1,1,0,1,1,J3,CR5,2023,low,30,no
C1178,civil,6,40,3,2,3,J15,CR10,2018,low,101,no
C1179,criminal,2,15,0,3,4,J11,CR1,2023,low,47,no
C1180,criminal,9,73,5,3,2,J6,CR8,2018,low,145,yes
C1181,criminal,6,47,5,2,4,J11,CR5,2019,low,120,no
C1182,commercial,2,21,1,3,0,J9,CR9,2019,medium,31,yes
C1183,civil,2,14,1,1,1,J3,CR4,2020,high,34,no
C1184,criminal,9,81,5,2,7,J18,CR4,2020,medium,179,yes
C1185,commercial,4,34,5,3,4,J16,CR8,2019,medium,98,no
C1186,civil,9,70,2,2,2,J10,CR4,2022,medium,129,yes
C1187,civil,3,21,0,2,3,J10,CR10,2018,medium,52,no
C1188,commercial,10,73,4,3,7,J17,CR6,2019,medium,178,yes
C1189,commercial,4,31,4,3,3,J18,CR6,2021,medium,85,yes
C1190,criminal,2,17,2,2,0,J9,CR5,2019,medium,34,no
C1191,civil,4,40,0,1,0,J7,CR6,2019,high,52,yes
C1192,commercial,3,31,3,4,2,J6,CR4,2021,high,66,yes
C1193,criminal,7,52,1,2,6,J9,CR10,2022,high,123,no
C1194,commercial,9,74,3,4,7,J20,CR5,2021,medium,166,no
C1195,civil,6,57,1,2,5,J10,CR4,2019,high,111,yes
C1196,criminal,5,45,1,1,0,J1,CR9,2019,low,67,yes
C1197,civil,10,76,7,1,3,J2,CR9,2018,medium,171,yes
C1198,civil,8,71,5,2,1,J16,CR2,2020,medium,130,no
C1199,commercial,5,32,4,4,2,J10,CR8,2023,low,88,no
C1200,criminal,4,31,1,3,0,J6,CR1,2022,high,52,no
C1201,criminal,5,43,2,2,0,J4,CR2,2021,high,71,no
C1202,civil,8,56,4,1,8,J19,CR1,2021,low,160,yes
C1203,commercial,4,31,0,4,3,J10,CR2,2019,low,65,no
C1204,civil,7,52,6,1,3,J18,CR7,2019,medium,130,no
C1205,commercial,8,63,4,4,5,J8,CR9,2018,medium,145,yes
C1206,criminal,1,11,0,2,3,J10,CR10,2019,low,31,no
C1207,criminal,2,10,0,1,1,J19,CR10,2018,low,30,yes
C1208,commercial,9,73,3,3,6,J4,CR4,2023,high,159,yes
C1209,criminal,9,65,5,1,3,J3,CR3,2023,medium,147,yes
C1210,commercial,9,77,2,3,7,J3,CR3,2021,medium,162,yes
C1211,criminal,1,3,0,2,0,J20,CR8,2019,medium,30,no
C1212,civil,8,69,6,2,10,J10,CR5,2019,medium,188,yes
C1213,criminal,5,40,2,3,0,J3,CR4,2021,medium,70,no
C1214,commercial,7,58,4,4,6,J19,CR4,2020,low,141,yes
C1215,commercial,5,40,2,4,3,J8,CR3,2020,low,88,no
C1216,civil,5,33,2,2,0,J3,CR1,2021,medium,66,yes
C1217,criminal,3,23,0,2,1,J20,CR10,2019,low,41,no
C1218,criminal,4,32,3,3,0,J4,CR8,2022,low,63,no
C1219,commercial,8,66,3,3,5,J13,CR5,2023,medium,142,yes
C1220,criminal,8,58,4,1,6,J15,CR2,2023,medium,149,yes
C1221,criminal,10,81,5,2,2,J11,CR10,2018,high,157,yes
C1222,civil,8,65,6,1,2,J8,CR10,2020,high,138,no
C1223,civil,7,60,2,2,4,J9,CR10,2019,medium,120,yes
C1224,civil,2,13,0,2,0,J16,CR9,2018,low,30,no
C1225,criminal,5,42,4,3,5,J6,CR10,2019,low,111,yes
C1226,criminal,9,73,4,3,7,J3,CR8,2019,medium,170,yes
C1227,criminal,7,60,5,2,2,J11,CR2,2023,medium,123,no
C1228,criminal,7,52,4,1,1,J14,CR8,2018,medium,108,yes
C1229,criminal,1,4,1,3,2,J18,CR1,2022,low,30,no
C1230,criminal,8,66,7,1,1,J9,CR6,2019,high,138,yes
C1231,criminal,2,15,0,2,0,J17,CR1,2021,low,30,no
C1232,commercial,5,42,1,2,1,J15,CR7,2023,medium,72,yes
C1233,commercial,1,2,0,4,0,J12,CR10,2021,high,30,no
C1234,commercial,6,54,3,2,2,J15,CR1,2018,medium,102,yes
C1235,commercial,6,46,2,2,2,J5,CR5,2019,low,93,no
C1236,commercial,2,16,2,4,0,J16,CR2,2019,medium,34,yes
C1237,commercial,7,60,4,4,2,J20,CR4,2023,medium,118,no
C1238,criminal,4,32,1,3,2,J18,CR1,2023,high,65,no
C1239,civil,7,66,2,1,3,J8,CR2,2020,low,117,yes
C1240,civil,2,19,1,2,0,J5,CR8,2023,high,30,no
C1241,criminal,4,36,0,1,2,J17,CR5,2022,low,62,no
C1242,criminal,8,68,0,3,4,J16,CR4,2021,low,122,yes
C1243,civil,4,34,0,2,1,J13,CR4,2022,low,55,no
C1244,commercial,2,11,1,4,0,J5,CR2,2018,low,30,no
C1245,criminal,2,17,1,1,0,J11,CR9,2020,low,30,no
C1246,civil,5,38,1,1,3,J10,CR5,2018,medium,82,no
C1247,commercial,7,51,2,2,2,J16,CR3,2021,medium,103,yes
C1248,criminal,6,42,2,3,0,J12,CR6,2020,medium,79,no
C1249,commercial,7,54,4,3,5,J13,CR8,2019,low,133,no
C1250,civil,5,37,3,1,0,J8,CR10,2019,low,73,no
C1251,criminal,5,45,2,1,1,J2,CR6,2021,medium,78,no
C1252,commercial,5,34,2,3,0,J13,CR7,2021,high,67,no
C1253,commercial,10,77,5,2,5,J5,CR8,2018,medium,173,no
C1254,civil,9,68,7,1,5,J17,CR10,2021,medium,171,yes
C1255,civil,7,55,4,2,4,J15,CR2,2018,medium,127,yes
C1256,criminal,7,50,3,1,2,J1,CR3,2018,medium,108,yes
C1257,commercial,1,7,0,3,3,J5,CR2,2021,low,30,no
C1258,criminal,3,18,2,3,3,J11,CR10,2023,medium,61,no
C1259,commercial,10,68,5,3,7,J3,CR6,2019,low,181,no
C1260,commercial,4,38,2,2,1,J13,CR6,2019,low,67,no
C1261,criminal,4,34,4,3,5,J18,CR1,2021,low,99,no
C1262,civil,10,82,4,1,4,J10,CR4,2023,medium,165,no
C1263,criminal,9,68,3,1,2,J4,CR2,2021,low,133,yes
C1264,commercial,1,1,1,3,0,J10,CR1,2022,low,30,yes
C1265,civil,8,65,4,1,7,J10,CR6,2021,low,158,yes
C1266,civil,6,43,4,2,3,J8,CR9,2020,high,107,yes
C1267,commercial,3,20,0,3,0,J6,CR3,2020,medium,34,no
C1268,commercial,1,1,0,4,2,J13,CR10,2022,low,30,no
C1269,criminal,10,81,6,1,5,J19,CR3,2020,high,180,yes
C1270,commercial,8,65,3,3,4,J9,CR8,2023,medium,135,yes
C1271,civil,2,8,2,2,0,J15,CR5,2021,low,30,no
C1272,civil,10,81,5,2,2,J3,CR8,2020,high,157,no
C1273,commercial,6,42,1,3,0,J10,CR7,2023,medium,74,no
C1274,criminal,5,38,1,1,2,J10,CR4,2021,medium,76,no
C1275,criminal,3,19,1,3,0,J4,CR4,2021,medium,38,no
C1276,criminal,8,69,4,3,2,J19,CR5,2022,medium,130,no
C1277,criminal,10,81,6,3,6,J1,CR7,2022,low,186,yes
C1278,commercial,7,51,4,4,4,J2,CR10,2020,medium,125,no
C1279,criminal,9,65,4,1,5,J8,CR10,2023,medium,154,no
C1280,civil,6,49,0,2,3,J7,CR10,2022,medium,90,yes
C1281,commercial,3,15,0,4,0,J5,CR2,2022,high,31,no
C1282,commercial,5,26,1,2,4,J2,CR5,2023,medium,82,no
C1283,civil,2,23,1,2,1,J19,CR6,2023,low,38,no
C1284,civil,9,75,6,2,2,J10,CR6,2023,low,151,no
C1285,civil,6,43,4,2,2,J7,CR3,2021,low,101,no
C1286,criminal,4,19,3,3,1,J17,CR9,2020,high,62,no
C1287,civil,7,54,5,2,2,J9,CR8,2023,medium,120,no
C1288,criminal,10,75,5,1,5,J11,CR2,2021,low,172,yes
C1289,civil,9,71,3,2,4,J5,CR4,2018,medium,146,no
C1290,commercial,2,21,0,4,1,J13,CR9,2023,low,32,no
C1291,criminal,2,25,0,2,0,J1,CR5,2023,high,30,no
C1292,criminal,2,24,0,3,3,J12,CR5,2019,high,46,no
C1293,commercial,3,24,0,4,2,J12,CR2,2022,low,48,no
C1294,criminal,4,32,4,1,0,J1,CR10,2023,low,68,no
C1295,commercial,9,74,6,2,5,J11,CR10,2019,low,169,yes
C1296,civil,3,24,2,2,0,J15,CR5,2018,low,46,no
C1297,civil,3,30,0,2,0,J5,CR1,2019,low,39,no
C1298,criminal,9,81,6,3,2,J16,CR2,2023,medium,154,yes
C1299,commercial,10,82,8,3,1,J5,CR7,2020,low,167,yes
C1300,commercial,2,16,0,2,0,J18,CR7,2021,high,30,no
C1301,commercial,5,38,5,3,0,J5,CR7,2020,high,84,no
C1302,criminal,7,55,4,3,4,J20,CR7,2019,low,127,no
C1303,criminal,6,44,3,3,1,J2,CR6,2018,low,91,yes
C1304,criminal,4,27,2,1,2,J8,CR6,2023,medium,67,yes
C1305,commercial,9,70,6,2,4,J12,CR9,2022,low,161,no
C1306,commercial,6,45,4,3,2,J12,CR1,2019,low,102,yes
C1307,civil,5,38,3,1,2,J4,CR8,2019,medium,86,yes
C1308,civil,9,81,2,1,4,J20,CR1,2020,medium,146,yes
C1309,criminal,4,38,1,3,2,J8,CR3,2021,medium,68,no
C1310,civil,6,45,3,2,4,J3,CR9,2023,low,109,yes
C1311,civil,5,38,3,2,2,J8,CR6,2018,medium,86,no
C1312,commercial,3,28,2,4,0,J1,CR5,2023,medium,48,no
C1313,civil,4,32,0,1,1,J5,CR9,2023,high,54,no
C1314,civil,4,31,1,2,1,J4,CR1,2018,low,58,yes
C1315,criminal,3,26,2,1,3,J8,CR10,2023,medium,65,no
C1316,civil,7,66,4,2,4,J9,CR1,2022,low,133,yes
C1317,criminal,1,4,0,3,0,J17,CR2,2022,low,30,no
C1318,criminal,9,74,5,2,5,J15,CR6,2023,medium,164,yes
C1319,civil,3,35,2,1,0,J15,CR9,2022,low,51,no
C1320,commercial,4,31,0,2,3,J2,CR9,2018,low,65,no
C1321,commercial,7,58,0,3,2,J1,CR1,2018,low,97,no
C1322,criminal,4,42,0,3,4,J14,CR2,2020,low,77,no
C1323,criminal,7,54,2,1,2,J3,CR2,2020,medium,105,yes
C1324,civil,2,14,0,1,5,J3,CR3,2023,high,53,no
C1325,commercial,2,16,0,3,0,J19,CR9,2020,low,30,no
C1326,criminal,10,72,4,3,2,J20,CR9,2018,medium,148,yes
C1327,commercial,6,34,3,2,3,J20,CR7,2019,medium,98,yes
C1328,commercial,5,42,6,4,1,J4,CR9,2018,low,97,no
C1329,civil,3,28,1,1,3,J14,CR8,2022,medium,61,no
C1330,criminal,3,27,1,1,0,J11,CR8,2021,high,42,no
C1331,commercial,5,30,3,2,0,J4,CR6,2022,medium,70,no
C1332,commercial,10,83,5,3,5,J9,CR6,2019,low,176,no
C1333,commercial,4,28,0,3,0,J16,CR2,2022,low,46,yes
C1334,civil,8,63,4,2,6,J3,CR7,2019,medium,151,yes
C1335,commercial,9,67,5,2,5,J12,CR3,2019,medium,160,yes
C1336,commercial,3,25,2,4,0,J18,CR9,2019,medium,46,no
C1337,civil,3,25,0,1,1,J14,CR6,2018,medium,42,no
C1338,criminal,3,19,1,3,0,J2,CR5,2018,low,38,no
C1339,criminal,5,43,1,3,6,J4,CR10,2022,low,102,no
C1340,civil,5,41,4,2,3,J16,CR4,2021,medium,98,no
C1341,criminal,9,74,1,2,3,J18,CR6,2020,medium,132,yes
C1342,criminal,4,34,0,2,1,J19,CR4,2021,low,55,no
C1343,commercial,1,1,0,2,0,J20,CR10,2019,medium,30,no
C1344,commercial,3,21,1,3,0,J1,CR10,2022,medium,39,no
C1345,commercial,4,33,4,4,6,J9,CR1,2021,low,104,yes
C1346,commercial,2,13,0,4,0,J10,CR6,2019,low,30,no
C1347,civil,6,48,2,1,4,J5,CR10,2019,low,106,no
C1348,civil,5,42,2,1,0,J5,CR1,2020,high,71,yes
C1349,commercial,4,24,2,2,2,J7,CR7,2022,medium,66,no
C1350,criminal,4,45,0,1,3,J6,CR6,2020,low,72,no
C1351,criminal,2,18,0,1,0,J19,CR10,2022,low,30,yes
C1352,civil,5,40,3,1,3,J5,CR3,2022,medium,93,no
C1353,civil,2,10,0,1,0,J3,CR5,2020,high,30,no
C1354,criminal,8,69,3,3,3,J16,CR10,2021,high,131,yes
C1355,criminal,5,33,0,3,2,J7,CR9,2022,medium,68,yes
C1356,criminal,6,53,3,1,3,J4,CR5,2022,medium,107,no
C1357,commercial,4,40,1,3,1,J16,CR9,2018,high,63,no
C1358,civil,10,79,5,2,1,J8,CR7,2021,low,150,no
C1359,civil,1,7,0,1,4,J1,CR4,2020,high,35,no
C1360,civil,3,29,1,2,0,J5,CR5,2021,high,43,no
C1361,civil,3,15,1,2,1,J1,CR8,2022,medium,42,no
C1362,civil,1,2,0,1,0,J5,CR7,2022,high,30,no
C1363,civil,7,61,3,1,2,J17,CR9,2023,medium,113,no
C1364,criminal,6,59,3,1,5,J3,CR7,2020,low,122,no
C1365,civil,9,69,4,1,3,J14,CR1,2018,low,144,yes
C1366,civil,8,64,4,1,2,J11,CR10,2018,medium,128,yes
C1367,criminal,4,33,0,3,1,J14,CR5,2020,medium,54,yes
C1368,civil,2,17,2,1,3,J11,CR3,2023,low,52,no
C1369,commercial,2,16,2,4,3,J15,CR6,2021,high,52,yes
C1370,civil,3,28,1,1,3,J8,CR7,2018,medium,61,no
C1371,commercial,5,41,4,4,1,J3,CR7,2018,medium,86,no
C1372,commercial,10,89,6,3,6,J11,CR4,2021,low,190,yes
C1373,civil,6,43,1,1,3,J3,CR9,2019,medium,92,no
C1374,commercial,2,17,0,4,0,J17,CR4,2018,low,30,no
C1375,criminal,10,72,6,2,6,J12,CR3,2023,high,182,yes
C1376,civil,8,68,2,1,4,J9,CR4,2019,low,132,yes
C1377,civil,4,26,0,2,0,J3,CR3,2021,medium,45,no
C1378,commercial,1,7,3,2,0,J16,CR8,2022,medium,30,no
C1379,commercial,5,42,2,3,2,J15,CR10,2018,low,83,no
C1380,commercial,3,23,0,4,0,J11,CR6,2019,medium,35,no
C1381,civil,3,24,0,1,1,J16,CR8,2022,medium,42,no
C1382,criminal,4,30,2,1,2,J19,CR1,2023,low,69,no
C1383,civil,7,59,1,2,5,J10,CR8,2021,medium,120,yes
C1384,civil,6,42,5,2,7,J12,CR5,2022,low,136,yes
C1385,civil,3,19,3,2,2,J20,CR10,2019,medium,60,no
C1386,criminal,5,34,3,2,2,J19,CR9,2018,medium,84,no
C1387,commercial,6,43,6,2,4,J2,CR8,2020,high,123,no
C1388,commercial,10,90,5,4,6,J7,CR6,2021,high,186,yes
C1389,commercial,6,51,2,3,3,J5,CR1,2022,low,101,no
C1390,criminal,7,45,3,2,7,J3,CR9,2022,medium,135,no
C1391,civil,7,65,4,2,5,J8,CR8,2020,high,138,no
C1392,commercial,7,54,5,3,4,J17,CR10,2019,medium,132,yes
C1393,criminal,7,56,4,1,7,J10,CR7,2022,medium,146,yes
C1394,criminal,4,34,2,2,0,J20,CR1,2021,medium,59,no
C1395,commercial,9,68,6,2,5,J11,CR2,2020,low,166,yes
C1396,commercial,5,44,2,4,0,J13,CR5,2018,high,72,yes
C1397,commercial,6,52,2,4,0,J20,CR3,2018,medium,84,yes
C1398,commercial,10,75,8,3,1,J5,CR6,2019,low,163,yes
C1399,commercial,10,76,4,3,5,J13,CR3,2023,high,168,yes
C1400,civil,2,9,1,1,0,J10,CR9,2020,medium,30,no
C1401,criminal,1,6,0,2,1,J5,CR9,2018,low,30,no
